player_id,season,whiff_pct,n_pitches
425794,2023,13.090656416321703,1691.0
425844,2023,17.010455159981976,2219.0
434378,2023,22.658570330514987,2602.0
445276,2023,27.5,557.0
445926,2023,24.68223443223443,546.0
446372,2023,20.241855670103092,970.0
448179,2023,19.98646551724138,2320.0
450203,2023,31.571358198451797,2842.0
453178,2023,25.5,191.0
453268,2023,21.189889025893958,811.0
453286,2023,28.510709939148075,2465.0
455119,2023,23.22576866764275,683.0
456501,2023,18.636559139784946,837.0
458681,2023,28.815724660562044,3167.0
471911,2023,24.018781725888335,1576.0
472610,2023,26.359804983748646,923.0
476595,2023,18.350833333333338,240.0
477132,2023,25.936060606060607,1980.0
488984,2023,19.305791505791504,259.0
489119,2023,19.01921397379913,1832.0
489446,2023,30.68903846153846,1040.0
493603,2023,23.50952380952381,966.0
500779,2023,21.498032506415736,1169.0
502043,2023,24.69476629361422,3038.0
502085,2023,30.52214828897338,1052.0
502171,2023,21.02435517970402,2365.0
502202,2023,18.28775510204082,294.0
502624,2023,21.436587129428776,1383.0
506433,2023,24.760090293453725,2215.0
518397,2023,19.313744075829383,633.0
518489,2023,25.21929046563193,902.0
518516,2023,19.95798319327731,238.0
518585,2023,32.33239171374765,1062.0
518617,2023,26.135624999999997,960.0
518876,2023,26.697716732072777,2803.0
518886,2023,33.42772277227723,1111.0
519043,2023,28.49469879518072,830.0
519151,2023,31.44951033732318,919.0
519242,2023,29.94173652694611,1670.0
519293,2023,28.046553966189855,769.0
523260,2023,29.106768189509303,591.0
527048,2023,15.729023124115146,2119.0
527054,2023,19.789581205311542,979.0
541640,2023,17.0,780.0
542585,2023,24.97132947976879,865.0
542881,2023,27.50935162094763,2406.0
542888,2023,26.621951219512194,738.0
542914,2023,31.078339350180507,277.0
542947,2023,15.307046070460702,369.0
543037,2023,26.155962183592557,3279.0
543056,2023,30.796096904441452,743.0
543101,2023,20.127178825048414,1549.0
543135,2023,26.394352308381894,2231.0
543243,2023,25.457381121362666,2818.0
543272,2023,22.19938080495356,969.0
543294,2023,19.078662733529992,2034.0
543351,2023,29.124770642201835,436.0
543475,2023,20.03810369318182,2816.0
543507,2023,23.46533505154639,776.0
543518,2023,30.091442542787284,1227.0
543521,2023,26.33417190775681,954.0
543548,2023,22.2,71.0
543766,2023,21.328217054263565,645.0
543859,2023,25.365558194774344,1263.0
543901,2023,8.5,95.0
547179,2023,21.746831597222222,2304.0
547184,2023,21.7,145.0
547943,2023,22.260979020979025,715.0
547973,2023,40.958484525080046,937.0
548384,2023,28.712307692307697,975.0
548389,2023,23.474053627760252,1268.0
554340,2023,31.490328467153287,1096.0
554430,2023,29.080203691915976,3142.0
570257,2023,38.5,93.0
570632,2023,23.774203338391505,659.0
570666,2023,14.376889848812095,463.0
571479,2023,33.383526682134566,431.0
571510,2023,31.324381301558205,1091.0
571539,2023,20.728571428571428,378.0
571578,2023,21.671526351813828,2922.0
571656,2023,30.537304847986853,1217.0
571670,2023,24.321956295525492,961.0
571760,2023,26.431266846361186,2597.0
571863,2023,23.03370786516854,534.0
571882,2023,26.871955719557196,813.0
571901,2023,19.38973384030418,789.0
571927,2023,25.16317512274959,1833.0
571945,2023,16.835783547075383,3197.0
571946,2023,26.004675716440424,663.0
571948,2023,20.805647517039922,1027.0
572020,2023,27.275247524752476,1515.0
572403,2023,30.37130518234165,1042.0
572955,2023,32.70498154981549,1084.0
572971,2023,16.600698080279233,573.0
573009,2023,23.22159090909091,528.0
573124,2023,24.760295930949443,811.0
573186,2023,22.762778029959144,2203.0
573204,2023,21.3,251.0
579328,2023,27.618966131907307,2805.0
592094,2023,34.858612975391495,894.0
592229,2023,15.798179059180576,659.0
592254,2023,24.0,148.0
592332,2023,29.105814717477006,3044.0
592351,2023,26.177242302543508,2241.0
592426,2023,31.393749999999997,512.0
592454,2023,35.4,518.0
592741,2023,26.487039563437925,733.0
592767,2023,27.04947851481018,2397.0
592773,2023,31.471759259259258,864.0
592779,2023,46.11729323308271,266.0
592789,2023,17.799928571428573,1400.0
592791,2023,21.89758224336108,2523.0
592826,2023,27.223214285714285,560.0
592836,2023,20.289963636363634,2750.0
592848,2023,33.8,144.0
592866,2023,19.329030992546098,2549.0
593334,2023,29.416878402903816,1653.0
593576,2023,30.783126787416588,1049.0
593619,2023,32.3,151.0
593958,2023,23.868254637436767,2372.0
593974,2023,28.543043995243757,841.0
594577,2023,22.70739436619718,284.0
594580,2023,22.890603363006925,1011.0
594798,2023,42.602238805970146,402.0
594835,2023,18.55710014947683,669.0
594902,2023,20.852522746071134,1209.0
594943,2023,21.150837988826815,358.0
595345,2023,30.285068762278975,1018.0
595928,2023,23.46271186440678,295.0
596001,2023,27.12509225092251,1355.0
596057,2023,22.0,106.0
596112,2023,44.73823529411764,680.0
596133,2023,21.689753143921752,2147.0
596271,2023,20.5698347107438,242.0
596295,2023,18.819052044609666,2152.0
598264,2023,19.577659574468086,376.0
598286,2023,23.95229793977813,631.0
600917,2023,36.777378435517974,946.0
600921,2023,25.073214285714286,672.0
601713,2023,29.64532040472175,2372.0
605130,2023,31.400417710944023,1197.0
605135,2023,21.843944636678202,2890.0
605154,2023,27.482466567607723,673.0
605177,2023,30.401752464403067,913.0
605182,2023,23.422266600099853,2003.0
605200,2023,19.86217008797654,1364.0
605218,2023,20.02307692307692,494.0
605242,2023,31.664954337899545,876.0
605280,2023,25.351272015655578,1022.0
605288,2023,18.680359147025815,1782.0
605347,2023,22.980227743271218,966.0
605397,2023,26.362790697674416,1548.0
605400,2023,25.193683187560737,3087.0
605447,2023,35.62349726775957,915.0
605463,2023,21.56928838951311,267.0
605483,2023,36.352905874921035,3166.0
605498,2023,17.77388888888889,360.0
